District,Area,Population,Male,Female,Transgender,SexRatio,Density,UrbanPercent,HouseholdSize,Population2017,GrowthRate,LiteracyRate,Hospitals,Beds,RHCs,BHUs,PrimarySchools,MiddleSchools,HighSchools,TotalSchools
Attock,6857.0,2170423,1089655,1080687,81,100.83,316.53,28.75,6.1,1886378.0,2.371816109411684,64.16192363254576,7,582,6,58,771,179,239,1189
Bahawalnagar,8878.0,3550342,1845493,1704479,370,108.27,399.9,27.44,6.3,2975656.0,2.9950231427436025,48.87153274410348,6,983,10,104,1555,325,198,2078
Bahawalpur,24830.0,4284964,2174995,2109500,469,103.1,172.57,37.79,6.3,3669176.0,2.6267366575501554,47.14399052536694,12,2467,13,78,1186,252,232,1670
Bhakkar,8153.0,1957470,1016361,941032,77,108.0,240.09,18.0,6.2,1647852.0,2.919327974124441,47.346138477879805,5,556,6,40,920,196,134,1250
Chakwal,6525.0,1734854,864029,870736,89,99.23,265.88,25.06,6.0,1495463.0,2.5126131460130985,73.65375036490583,6,390,11,68,664,164,288,1116
Chiniot,2643.0,1563024,790731,772126,167,102.41,591.38,31.46,6.1,1368659.0,2.244051031910277,46.273356472053926,3,215,4,39,508,104,78,690
Dera Ghazi Khan,11922.0,3393705,1712930,1680654,121,101.92,284.66,23.79,7.4,2872631.0,2.825005989988205,40.077967643427975,7,1171,10,55,1300,169,145,1614
Faisalabad,5857.0,9075819,4731224,4343633,962,108.92,1549.57,48.4,6.5,7882444.0,2.3840003537078047,68.56421489266539,21,4780,18,172,1180,430,535,2145
Gujranwala,3622.0,5959750,3028290,2930923,537,103.32,1645.43,60.3,7.0,5011066.0,2.939964513685833,71.89013160609325,12,1942,16,99,963,273,304,1540
Gujrat,3192.0,3219375,1608221,1610964,190,99.83,1008.58,41.13,6.5,2756289.0,2.629429353302926,77.80589922477765,15,1190,10,89,874,179,319,1372
Hafizabad,2367.0,1319909,670023,649826,60,103.11,557.63,38.21,6.6,1156954.0,2.226642698250636,58.2884468923498,3,382,8,33,540,108,72,720
Jhang,6166.0,3065639,1585616,1479771,252,107.15,497.18,26.13,6.2,2743526.0,1.872584126506616,51.4914324472115,8,604,10,62,1119,153,200,1472
Jhelum,3587.0,1382308,703667,678543,98,103.7,385.37,39.16,6.0,1222403.0,2.0757938692565814,77.25716381773337,6,613,7,48,493,110,184,787
Kasur,3995.0,4084286,2087217,1996670,399,104.53,1022.35,30.46,6.3,3454881.0,2.836434319477643,54.26481469517029,8,661,14,82,914,196,233,1343
Khanewal,4349.0,3364077,1734655,1629036,386,106.48,773.53,21.31,6.3,2920233.0,2.392806041337004,53.27561372798077,7,470,9,81,648,333,235,1216
Khushab,6511.0,1501089,768126,732914,49,104.8,230.55,27.9,6.0,1280372.0,2.6935651964932417,55.87771368837617,6,450,5,44,688,105,147,940
Lahore,1772.0,13004135,6881801,6118958,3376,112.47,7338.68,100.0,6.4,11119985.0,2.6503808362529746,76.1917921545167,50,13634,12,43,2727,185,381,3293
Layyah,6289.0,2102386,1082922,1019375,89,106.23,334.3,18.37,6.1,1823995.0,2.4022783547760884,53.561971796819165,8,777,6,36,1092,229,182,1503
Lodhran,2778.0,1928299,997846,930336,117,107.26,694.13,16.86,5.9,1699693.0,2.131330710495183,43.15176270048557,5,408,5,48,499,137,110,746
Mandi Bahauddin,2673.0,1829486,917125,912222,139,100.54,684.43,18.92,6.4,1594039.0,2.329062140476013,64.52486380513365,7,509,11,48,475,111,126,712
Mianwali,5840.0,1798268,918115,880088,65,104.32,307.92,20.21,6.0,1542601.0,2.5960231216410885,56.09968162871624,6,536,11,43,914,153,154,1221
Multan,3720.0,5362305,2730613,2631285,407,103.77,1441.48,46.62,6.0,4746166.0,2.060796740028903,55.2267645841809,20,4375,11,84,886,185,213,1284
Muzaffargarh,8249.0,5015325,2546877,2468339,109,103.18,607.99,18.88,6.2,4328549.0,2.4916872677215096,39.87023799147544,6,695,14,76,1380,184,179,1743
Nankana Sahib,2216.0,1634871,831931,802859,81,103.62,737.76,19.78,6.6,1354986.0,3.187872983880391,55.55391261422549,4,410,9,49,538,129,108,775
Narowal,2337.0,1950954,996445,954424,85,104.4,834.81,17.89,6.9,1707575.0,2.2517965055090627,68.86903615413377,3,467,7,57,751,142,183,1076
Okara,4377.0,3515490,1789744,1725411,335,103.73,803.17,33.78,6.4,3040826.0,2.45373510561131,52.791333166414944,8,734,11,96,913,234,250,1397
Pakpattan,2724.0,2136170,1085316,1050694,160,103.3,784.2,22.12,6.2,1824228.0,2.673271534791022,48.60493742114194,4,210,6,55,589,138,119,846
Rahim Yar Khan,11880.0,5564703,2896819,2667333,551,108.6,468.41,24.12,6.7,4807762.0,2.473636488254849,42.12586455603252,6,1343,20,109,2084,314,304,2702
Rajanpur,12318.0,2381049,1209183,1171748,118,103.19,193.3,26.51,6.7,1996039.0,2.991529204688481,29.42998943370139,5,450,7,32,785,75,82,942
Rawalpindi,5285.0,6118911,3109807,3007760,1344,103.39,1157.79,68.82,6.1,5402380.0,2.103238495961657,80.47342257005216,15,3859,6,87,1056,236,468,1760
Sahiwal,3201.0,2881811,1460748,1420910,153,102.8,900.28,26.29,6.4,2513011.0,2.31492482801845,58.17797488503262,9,1813,13,76,654,209,260,1123
Sargodha,5856.0,4334448,2194156,2139911,381,102.53,740.17,37.13,6.3,3696212.0,2.6977798855473134,59.76023412021518,17,1404,13,132,1199,288,390,1877
Sheikhupura,3744.0,4049418,2079378,1969434,606,105.58,1081.58,38.3,6.8,3460004.0,2.6637624185815945,62.66512152860868,11,1548,9,84,755,213,168,1136
Sialkot,3016.0,4499394,2277939,2220596,859,102.58,1491.84,32.94,6.7,3894938.0,2.4402988706526685,73.39623521113343,11,1009,8,120,1203,244,308,1755
Toba Tek Singh,3252.0,2524044,1295646,1228162,236,105.49,776.15,22.33,6.4,2190602.0,2.396156006844863,65.82620603243743,8,900,9,75,738,236,254,1228
Vehari,4364.0,3430421,1734732,1695250,439,102.33,786.07,22.82,6.3,2902081.0,2.8346472118875976,51.96566973060168,4,612,14,81,936,248,214,1398
